ds,y
1/1/2025,704
1/2/2025,1000
1/3/2025,852
1/4/2025,690
1/5/2025,715
1/6/2025,726
1/7/2025,738
1/8/2025,691
1/9/2025,712
1/10/2025,669
1/11/2025,591
1/12/2025,589
1/13/2025,695
1/14/2025,654
1/15/2025,629
1/16/2025,647
1/17/2025,627
1/18/2025,484
1/19/2025,487
1/20/2025,727
1/21/2025,665
1/22/2025,612
1/23/2025,597
1/24/2025,633
1/25/2025,548
1/26/2025,535
1/27/2025,692
1/28/2025,582
1/29/2025,622
1/30/2025,609
1/31/2025,548
2/1/2025,691
2/2/2025,753
2/3/2025,761
2/4/2025,648
2/5/2025,649
2/6/2025,659
2/7/2025,629
2/8/2025,512
2/9/2025,511
2/10/2025,733
2/11/2025,700
2/12/2025,698
2/13/2025,729
2/14/2025,624
2/15/2025,517
2/16/2025,541
2/17/2025,693
2/18/2025,582
2/19/2025,578
2/20/2025,589
2/21/2025,559
2/22/2025,502
2/23/2025,487
2/24/2025,542
2/25/2025,568
2/26/2025,603
2/27/2025,568
2/28/2025,564
3/1/2025,647
3/2/2025,718
3/3/2025,669
3/4/2025,684
3/5/2025,730
3/6/2025,674
3/7/2025,662
3/8/2025,578
3/9/2025,569
3/10/2025,622
3/11/2025,673
3/12/2025,663
3/13/2025,595
3/14/2025,544
3/15/2025,560
3/16/2025,572
3/17/2025,632
3/18/2025,641
3/19/2025,733
3/20/2025,602
3/21/2025,646
3/22/2025,539
3/23/2025,592
3/24/2025,853
3/25/2025,723
3/26/2025,730
3/27/2025,782
3/28/2025,673
3/29/2025,534
3/30/2025,590
3/31/2025,697
4/1/2025,717
4/2/2025,708
4/3/2025,647
4/4/2025,584
4/5/2025,478
4/6/2025,581
4/7/2025,1529
4/8/2025,1293
4/9/2025,1244
4/10/2025,1111
4/11/2025,819
4/12/2025,603
4/13/2025,635
4/14/2025,653
4/15/2025,613
4/16/2025,572
4/17/2025,496
4/18/2025,543
4/19/2025,466
4/20/2025,559
4/21/2025,598
4/22/2025,619
4/23/2025,608
4/24/2025,770
4/25/2025,660
4/26/2025,542
4/27/2025,589
4/28/2025,685
4/29/2025,672
4/30/2025,577
5/1/2025,940
5/2/2025,872
5/3/2025,688
5/4/2025,772
5/5/2025,872
5/6/2025,802
5/7/2025,807
5/8/2025,776
5/9/2025,752
5/10/2025,723
5/11/2025,597
5/12/2025,713
5/13/2025,646
5/14/2025,659
5/15/2025,586
5/16/2025,566
5/17/2025,523
5/18/2025,584
5/19/2025,844
5/20/2025,682
5/21/2025,637
5/22/2025,623
5/23/2025,580
5/24/2025,506
5/25/2025,532
5/26/2025,666
5/27/2025,623
5/28/2025,618
5/29/2025,677
5/30/2025,701
5/31/2025,460
6/1/2025,694
6/2/2025,834
6/3/2025,729
6/4/2025,789
6/5/2025,718
6/6/2025,682
6/7/2025,596
6/8/2025,603
6/9/2025,785
6/10/2025,752
6/11/2025,839
6/12/2025,772
6/13/2025,738
6/14/2025,665
6/15/2025,614
6/16/2025,848
6/17/2025,855
6/18/2025,901
6/19/2025,809
6/20/2025,682
6/21/2025,655
6/22/2025,732
6/23/2025,799
6/24/2025,828
6/25/2025,840
6/26/2025,818
6/27/2025,793
6/28/2025,729
6/29/2025,793
6/30/2025,863
7/1/2025,854
7/2/2025,876
7/3/2025,844
7/4/2025,749
7/5/2025,773
7/6/2025,862
7/7/2025,1170
7/8/2025,987
7/9/2025,859
7/10/2025,713
7/11/2025,646
7/12/2025,557
7/13/2025,591
7/14/2025,2206
7/15/2025,1882
7/16/2025,1688
7/17/2025,1686
7/18/2025,1012
7/19/2025,710
7/20/2025,701
7/21/2025,865
7/22/2025,788
7/23/2025,772
7/24/2025,831
7/25/2025,749
7/26/2025,555
7/27/2025,623
7/28/2025,571
7/29/2025,606
7/30/2025,593
7/31/2025,675
8/1/2025,611
8/2/2025,415
8/3/2025,381
8/4/2025,396
8/5/2025,364
8/6/2025,290
8/7/2025,292
8/8/2025,268
8/9/2025,197
8/10/2025,205
8/11/2025,254
8/12/2025,260
8/13/2025,276
8/14/2025,228
8/15/2025,243
8/16/2025,207
8/17/2025,184
8/18/2025,249
8/19/2025,242
8/20/2025,270
8/21/2025,298
8/22/2025,251
8/23/2025,217
8/24/2025,254
8/25/2025,273
8/26/2025,246
8/27/2025,205
8/28/2025,208
8/29/2025,181
8/30/2025,132
8/31/2025,151
9/1/2025,260
9/2/2025,247
9/3/2025,281
9/4/2025,341
9/5/2025,273
9/6/2025,243
9/7/2025,306
9/8/2025,385
9/9/2025,425
9/10/2025,384
9/11/2025,383
9/12/2025,373
9/13/2025,315
9/14/2025,363
9/15/2025,417
9/16/2025,395
9/17/2025,366
9/18/2025,378
9/19/2025,388
9/20/2025,303
9/21/2025,305
9/22/2025,405
9/23/2025,400
9/24/2025,420
9/25/2025,436
9/26/2025,411
9/27/2025,411
9/28/2025,429
9/29/2025,490
9/30/2025,426
10/1/2025,610
10/2/2025,626
10/3/2025,538
10/4/2025,418
10/5/2025,465
10/6/2025,482
10/7/2025,534
10/8/2025,553
10/9/2025,581
10/10/2025,482
10/11/2025,476
10/12/2025,501
10/13/2025,616
10/14/2025,561
10/15/2025,498
10/16/2025,49
10/17/2025,1979
10/18/2025,2064
10/19/2025,2262
10/20/2025,2391
10/21/2025,2224
10/22/2025,1926
10/23/2025,1636
10/24/2025,896
10/25/2025,627
10/26/2025,629
10/27/2025,805
10/28/2025,654
10/29/2025,614
10/30/2025,541
10/31/2025,454
11/1/2025,484
11/2/2025,694
11/3/2025,2118
11/4/2025,1630
11/5/2025,1350
11/6/2025,1298
11/7/2025,885
11/8/2025,663
11/9/2025,665
11/10/2025,687
11/11/2025,661
11/12/2025,593
11/13/2025,555
11/14/2025,566
11/15/2025,532
11/16/2025,618
11/17/2025,488
11/18/2025,640
11/19/2025,548
11/20/2025,571
